# Admin panel
"P24Acquire","Приват24 Мерчант"
"Enable","Ввімкнено"
"Title","Заголовок"
"New order status","Статус нового замовлення"
"Order status after pay complete","Статус замовлення після оплати"
"Payment from applicable countries","Оплата з відповідних країн"
"Payment from Specific countries","Оплата для певних країн"
"Minimum Order Total","Мінімальна сума замовлення"
"Maximum Order Total","Максимальна сума замовлення"
"Sort order","Позиція"
"Ukrane Hrivna","Українська гривня"
"Russina Rub","Російський рубль"
"Euro","Євро"
"Dollar USA","Долар США"
"Ukranian","Український"
"Russian","Русійський"
"English","Англійський"
"Latvian","Латвійська"
"P24Acquire options","Налаштування Приват24"
"Request url","API урл"
"Merchant","Мерчант"
"Merchant ID","Ідентифікатор мерчанта"
"Merchant key","Ключ мерчанта"
"Merchant secret key","Секретний ключ мерчанта"
"Merchant currency","Валюта мерчанта"
    "Back reference after pay","Посилання для повернення клієнта"
"Return customer to current referer after pay.","Сторінка, на яку повернеться клієнт після оплати."
"Language P24Acquire","Мова сторінки оплати"
"Additional options","Додаткові налаштування"
"Send Magento New Order Email","Відправити email після оформлення замовлення"
"Yes/No Send Magento New Order Email","Так / ні відправити системний лист"
"Round Order Totals","Округлити суму замовлення"
"Yes/No round order totals","Так / ні виберіть для округлення суми замовлення"
"Order Total Round Value","Округлити до"
"Count of numbers after dot, by default is 0 round to integer number","Кількість символів після коми, за замовчуванням 0 і сума округляється до челого числа."
"Customer switch over to Privat24 payment interface.","Покупець перенаправлен на платіжну систему Приват24."
"Customer successfully got back from Privat24 payment interface.","Покупець повернувся на сайт з платіжної системи Приват24."
"Can not send new order email.","Неможливо відправити email."
"Invoice #%s created.","Створено #%s рахунок."
"Payed by Privat24 service, amout: %s %s","Сплачено через Приват24 на сумму: %s %s"
"",""

# Frontend
"Order № %s","Замовлення № %s"
"Visa / MasterCard credit cards payment effected through the Privat24 payment system.","Visa / MasterCard кредитні карти оплати через платіжну систему Приват24."
"Credit card's data input is making on the site's purchasing system. You will be redirected on the payment's page after confirmation of your order on the next step.","Введення даних кредитної картки робиться на системи оплати сайту. Ви будете перенаправлені на сторінку оплати після підтвердження вашого замовлення на наступній стадії."
"You will be redirected to the Privat24 website in a few seconds.","Через кілька секунд Ви будете перенаправлені на платіжну систему Приват24."
"Payment for products in store ""%s""","Оплата покупки в ""%s"""
"Payment or signature is empty","Порожні дані про оплату або цифрова підпис."
"Order id is not set","Ід замовлення не встановлено."
"Cannot load order","Помилка при завантаженні замовлення."
"Security check failed!","Перевірка безпеки не пройдена!"
"Error during creation of invoice.","Помилка при створенні рахунку."
"Privat24 error.","Помилка Приват24."
"Waiting for verification from the Privat24 side.","Очікування верифікації від Приват24."
"Waiting for accepting from the buyer side.","Очікування з боку покупця."
"Unexpected status from server: %s","Невідомий статус у відповіді сервера: %s"
"",""
