# Admin panel
"P24Acquire","Приват24 Мерчант"
"Enable","Включено"
"Title","Заголовок"
"New order status","Статус нового заказа"
"Order status after pay complete","Статус заказа после оплаты"
"Payment from applicable countries","Оплата из соответствующих стран"
"Payment from Specific countries","Оплата для определенных стран"
"Minimum Order Total","Минимальная сумма заказа"
"Maximum Order Total","Максимальная сумма заказа"
"Sort order","Позиция"
"Ukrane Hrivna","Украинская гривна"
"Russina Rub","Российский рубль"
"Euro","Евро"
"Dollar USA","Доллар США"
"Ukranian","Украинский"
"Russian","Русский"
"English","Английский"
"Latvian","Латышский"
"P24Acquire options","Настройки Приват24"
"Request url","API урл"
"Merchant","Мерчант"
"Merchant ID","Идентификатор мерчанта"
"Merchant key","Ключ мерчанта"
"Merchant secret key","Секретный ключ мерчанта"
"Merchant currency","Валюта мерчанта"
"Back reference after pay","Ссылка для возврата клиента"
"Return customer to current referer after pay.","Страница, на которую вернется клиент после оплаты."
"Language P24Acquire","Язык страницы оплаты"
"Additional options","Дополнительные настройки"
"Send Magento New Order Email","Отправить email после оформления заказа"
"Yes/No Send Magento New Order Email","Да/нет отправить системное письмо"
"Round Order Totals","Округлить сумму заказа"
"Yes/No round order totals","Да/нет выберите для округления суммы заказа"
"Order Total Round Value","Округлить до"
"Count of numbers after dot, by default is 0 round to integer number","Количество символов после запятой, по умолчанию 0 и сумма округляется до челого числа."
"Customer switch over to Privat24 payment interface.","Покупатель перенаправлен на платежную систему Приват24."
"Customer successfully got back from Privat24 payment interface.","Покупатель вернулся на сайт из платежной системы Приват24."
"Can not send new order email.","Невозможно отправить email."
"Invoice #%s created.","Создан #%s счет."
"Payed by Privat24 service, amout: %s %s","Оплачено через Приват24 на сумму: %s %s"
"",""

# Frontend
"Order № %s","Заказ № %s"
"Visa / MasterCard credit cards payment effected through the Privat24 payment system.","Visa / MasterCard кредитные карты оплаты через платежную систему Приват24."
"Credit card's data input is making on the site's purchasing system. You will be redirected on the payment's page after confirmation of your order on the next step.","Ввод данных кредитной карты делается на системы оплаты сайта. Вы будете перенаправлены на страницу оплаты после подтверждения вашего заказа на следующей стадии."
"You will be redirected to the Privat24 website in a few seconds.","Через несколько секунд Вы будете перенаправлены на платежную систему Приват24."
"Payment for products in store ""%s""","Оплата покупки в ""%s"""
"Payment or signature is empty","Пустые данные об оплате или цифровая подпись."
"Order id is not set","Ид заказа не установлен."
"Cannot load order","Ошибка при загрузке заказа."
"Security check failed!","Проверка безопасности не пройдена!"
"Error during creation of invoice.","Ошибка при создании счета."
"Privat24 error.","Ошибка Приват24."
"Waiting for verification from the Privat24 side.","Ожидание верификации от Приват24."
"Waiting for accepting from the buyer side.","Ожидание со стороны покупателя."
"Unexpected status from server: %s","Неизвестный статус в ответе сервера: %s"
"",""
